domain;country;visibility_index
http://data.utm.csic.es/;us;0.0
http://datadoi.ee/;at;0.0
http://datadoi.ee/;au;0.0
http://datadoi.ee/;be;0.0
http://datadoi.ee/;bg;0.0
http://datadoi.ee/;br;0.0
http://datadoi.ee/;ca;0.0
http://datadoi.ee/;ch;0.0
http://datadoi.ee/;cz;0.0
http://datadoi.ee/;de;0.0
http://datadoi.ee/;dk;0.0
http://datadoi.ee/;es;0.0
http://datadoi.ee/;fi;0.0
http://datadoi.ee/;fr;0.0
http://datadoi.ee/;gr;0.0
http://datadoi.ee/;hr;0.0
http://datadoi.ee/;hu;0.0
http://datadoi.ee/;ie;0.0
http://datadoi.ee/;it;0.0
http://datadoi.ee/;jp;0.0
http://datadoi.ee/;nl;0.0
http://datadoi.ee/;no;0.0
http://datadoi.ee/;pl;0.0
http://datadoi.ee/;pt;0.0
http://datadoi.ee/;ro;0.0
http://datadoi.ee/;se;0.0
http://datadoi.ee/;si;0.0
http://datadoi.ee/;sk;0.0
http://datadoi.ee/;tr;0.0
http://datadoi.ee/;uk;0.0
http://datadoi.ee/;us;0.0
http://digital.ucd.ie/;at;0.0005
http://digital.ucd.ie/;au;0.0
http://digital.ucd.ie/;be;0.0
http://digital.ucd.ie/;bg;0.0
http://digital.ucd.ie/;br;0.0
http://digital.ucd.ie/;ca;0.0
http://digital.ucd.ie/;ch;0.00075
http://digital.ucd.ie/;cz;0.0
http://digital.ucd.ie/;de;0.00055
http://digital.ucd.ie/;dk;0.0
http://digital.ucd.ie/;es;0.0
http://digital.ucd.ie/;fi;0.0
http://digital.ucd.ie/;fr;0.0
http://digital.ucd.ie/;gr;0.0
http://digital.ucd.ie/;hr;0.0
http://digital.ucd.ie/;hu;0.0
http://digital.ucd.ie/;ie;0.46140000000000003
http://digital.ucd.ie/;it;0.0
http://digital.ucd.ie/;jp;0.0
http://digital.ucd.ie/;nl;0.0
http://digital.ucd.ie/;no;0.0
http://digital.ucd.ie/;pl;0.0
http://digital.ucd.ie/;pt;0.0
http://digital.ucd.ie/;ro;0.0
http://digital.ucd.ie/;se;0.0
http://digital.ucd.ie/;si;0.0
http://digital.ucd.ie/;sk;0.0
http://digital.ucd.ie/;tr;0.0
http://digital.ucd.ie/;uk;0.0018
http://digital.ucd.ie/;us;0.0009
http://doi.apa.org/;at;0.0007
http://doi.apa.org/;au;0.0
http://doi.apa.org/;be;0.0
http://doi.apa.org/;bg;0.0
http://doi.apa.org/;br;0.0
http://doi.apa.org/;ca;0.0
http://doi.apa.org/;ch;0.0009
http://doi.apa.org/;cz;0.0
http://doi.apa.org/;de;0.0
http://doi.apa.org/;dk;0.0
http://doi.apa.org/;es;0.0
http://doi.apa.org/;fi;0.0
http://doi.apa.org/;fr;0.0007
http://doi.apa.org/;gr;0.0
http://doi.apa.org/;hr;0.0
http://doi.apa.org/;hu;0.0
http://doi.apa.org/;ie;0.0
http://doi.apa.org/;it;0.0
http://doi.apa.org/;jp;0.0
http://doi.apa.org/;nl;0.0
http://doi.apa.org/;no;0.0
http://doi.apa.org/;pl;0.0
http://doi.apa.org/;pt;0.0
http://doi.apa.org/;ro;0.0
http://doi.apa.org/;se;0.0
http://doi.apa.org/;si;0.0
