domain;dois_number;mean_visibility_index;h_index;category
https://mountainscholar.org/;4;0.0010866666666666633;0;economic
https://rda.ucar.edu/;4;0.000455;2;social
https://www.jsad.com/;4;0.0004066666666666633;1;social
https://data.4tu.nl/;4;0.00018333333333333336;0;social
http://www.isc.ac.uk/;4;0.00016666666666666666;1;social
https://adc.arm.gov/;4;3.3333333333333335e-05;0;economic
https://datos.uchile.cl/;4;1.8333333333333333e-05;0;social
https://wiley.figshare.com/;4;1.6666666666666667e-05;0;social
https://doi.nrct.go.th/;4;9.999999999999999e-06;0;social
http://cssp.chemspider.com/;4;0.0;0;economic
http://curation.hsrc.ac.za/;4;0.0;1;social
http://research-data.urosario.edu.co/;4;0.0;0;social
https://dataverse.asu.edu/;4;0.0;0;economic
https://dataverse.unimi.it/;4;0.0;0;social
https://doi.ccs.ornl.gov/;4;0.0;1;social
https://figsh.com/;4;0.0;0;economic
https://jlupub.ub.uni-giessen.de/;4;0.0;0;social
https://primordialscoop.org/;4;0.0;0;social
https://srda.sinica.edu.tw/;4;0.0;1;social
https://www.cambridge.org/;3;0.9506333333333333;0;economic
https://riunet.upv.es/;3;0.176805;1;economic
https://pubsonline.informs.org/;3;0.026448333333333327;0;economic
https://www.compadre.org/;3;0.015213333333333334;0;economic
https://digitalcommons.chapman.edu/;3;0.00678999999999998;0;economic
https://ecommons.cornell.edu/;3;0.006233333333333333;0;social
https://www.sciencebase.gov/;3;0.005481666666666663;0;economic
https://bacdive.dsmz.de/;3;0.004456666666666667;0;social
https://genome.jgi.doe.gov/;3;0.003625000000000001;0;economic
https://shareok.org/;3;0.00331;0;social
https://scholarworks.smith.edu/;3;0.0029550000000000006;1;social
https://commons.und.edu/;3;0.00231;0;social
https://account.wolfram.com/;3;0.0017500000000000005;0;social
https://scholarworks.sjsu.edu/;3;0.0010816666666666668;0;social
https://www.wto-ilibrary.org/;3;0.0010033333333333333;0;social
https://aquila.usm.edu/;3;0.0007799999999999999;0;social
https://kbase.us/;3;0.00036;1;social
https://portal.edirepository.org/;3;0.0003466666666666667;0;economic
https://beta.ukdataservice.ac.uk/;3;0.00032333333333333335;0;social
https://access.portico.org/;3;0.00021999999999999665;0;economic
https://vedas.sac.gov.in/;3;0.00020499999999999997;0;economic
https://repository.tcu.edu/;3;0.00012833333333333333;0;economic
https://www.disc.wisc.edu/;3;9e-05;0;economic
https://drum.lib.umd.edu/;3;8.999999999999998e-05;0;economic
https://nyu.databrary.org/;3;4.6666666666666665e-05;0;social
https://doi.nrct.go.th/;3;9.999999999999999e-06;0;economic
http://curation.hsrc.ac.za/;3;0.0;1;economic
http://data.sciencespo.fr/;3;0.0;0;economic
http://sead-published.ncsa.illinois.edu/;3;0.0;0;social
https://archaeology.datastations.nl/;3;0.0;0;social
https://archive.materialscloud.org/;3;0.0;0;social
https://bbd.labworks.org/;3;0.0;0;social
https://data.ahri.org/;3;0.0;1;social
https://data.piscoweb.org/;3;0.0;0;social
https://data.pnnl.gov/;3;0.0;0;economic
https://data.pnnl.gov/;3;0.0;1;social
https://dataspace.hkust.edu.hk/;3;0.0;1;economic
https://digitalcommons.usf.edu/;3;0.0;0;social
https://digitallibrary.usc.edu:443/;3;0.0;0;social
