domain,category,h_index
https://heidata.uni-heidelberg.de/,economic,0
https://heidata.uni-heidelberg.de/,social,0
https://hheardatacenter.mssm.edu/,economic,0
https://hheardatacenter.mssm.edu/,social,0
https://hub.sfedu.ru/,social,0
https://hub.worldpop.org/,economic,0
https://hub.worldpop.org/,social,1
https://hydrosource.ornl.gov/,social,0
https://iastate.figshare.com/,social,0
https://idus.us.es/,economic,0
https://idus.us.es/,social,0
https://ieee-dataport.org/,economic,0
https://iifiir.org/,economic,0
https://iifiir.org/,social,0
https://inhabitingtheanthropocene.com/,social,0
https://inslav.ru/,social,1
https://iochem-bd.bsc.es/,social,0
https://iochem-bd.iciq.es/,economic,0
https://iochem-bd.iciq.es/,social,0
https://iro.uiowa.edu/,social,0
https://janelia.figshare.com/,social,0
https://jlupub.ub.uni-giessen.de/,social,0
https://journals.asm.org/,social,0
https://jyx.jyu.fi/,economic,1
https://jyx.jyu.fi/,social,1
https://karger.figshare.com/,social,0
https://kbase.us/,social,1
https://knb.ecoinformatics.org/,social,0
https://kulturabezpieczenstwa.publisherspanel.com/,social,0
https://kuscholarworks.ku.edu/,social,0
https://lapop.app.vanderbilt.edu/,social,0
https://lbezone.hkust.edu.hk/,economic,0
https://lbezone.hkust.edu.hk/,social,0
https://ldbase.org:443/,economic,0
https://ldbase.org:443/,social,0
https://library.ucsd.edu/,social,0
https://link.springer.com/,social,0
https://livewire.energy.gov/,economic,0
https://livewire.energy.gov/,social,0
https://loar.kb.dk/,social,0
https://materialsdata.nist.gov/,social,0
https://mdsoar.org/,social,0
https://melbourne.figshare.com/,social,0
https://metadata.fdz.dzhw.eu/,economic,2
https://metadata.fdz.dzhw.eu/,social,2
https://mhkdr.openei.org/,economic,0
https://mhkdr.openei.org/,social,0
https://miig.sgc.gov.co/,social,0
https://mnspruce.ornl.gov/,economic,1
https://mnspruce.ornl.gov/,social,1
https://morphobank.org/,economic,1
https://morphobank.org/,social,2
https://mospace.umsystem.edu/,social,0
https://mountainscholar.org/,economic,0
https://mountainscholar.org/,social,0
https://mspace.lib.umanitoba.ca/,social,0
https://musiklexikon.ac.at:443/,economic,0
https://musiklexikon.ac.at:443/,social,0
https://myacr.acr.org/,social,0
https://next-gen.materialsproject.org/,social,1
https://ngt-data.lbl.gov/,economic,0
https://ngt-data.lbl.gov/,social,1
https://norden.diva-portal.org/,economic,0
https://norden.diva-portal.org/,social,0
https://nyu.databrary.org/,social,0
https://oceanrep.geomar.de/,social,1
https://odin.jrc.ec.europa.eu/,social,0
https://ojs.ifsp.edu.br/,social,0
